variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.09333908259395064,1.0978339285386018,1.0850175755308873,1.1108016697893486,1.0130683069129744e-54,0.07774730123118256,1.0808494948208345,1.0675359884764086,1.0943290372081629,9.672592976014063e-35,0.13178608552281862,1.1408642457840683,1.1265851609445128,1.1553243131812887,1.8339173352745538e-93,0.18968251449149906,1.2088657393717805,1.193836131049804,1.224084560534981,4.755543336838042e-194,0.24612253683928337,1.2790562954551488,1.2636036569225921,1.2946979046640008,0.0,0.29301741299396916,1.3404661317571278,1.3248076139699172,1.3563097248539209,0.0,0.37184902150028376,1.4504139834344043,1.4338278723604443,1.4671919579013566,0.0,0.38896276644001654,1.4754496140685984,1.45747190255382,1.4936490781336262,0.0,0.3526185705544112,1.4227883465506106,1.4038071399938497,1.442026202466166,0.0,0.3417019036919065,1.4073407119083001,1.385682089639789,1.4293378648701625,0.0,0.3527725838749874,1.4230074917835493,1.4022257899142287,1.4440971890810612,0.0,0.4267858008450301,1.5323244039765362,1.5130862639177844,1.5518071474275374,0.0
subject_race_hispanic,0.22946504085946887,1.2579268904116658,1.2470183965074726,1.2689308081200235,0.0,0.23506851703197382,1.2649954394966207,1.2536946244346352,1.2763981202111954,0.0,0.1685386581248884,1.1835739807112347,1.1721286617286832,1.1951310581814756,2.6997694169205938e-253,0.23805969745004746,1.2687849337893229,1.2584068401969837,1.2792486156216265,0.0,0.2733309151693567,1.3143351062939332,1.3038397531309966,1.3249149425674287,0.0,0.2859259033311406,1.3309938293893826,1.320613481983291,1.341455768884107,0.0,0.41281210693116904,1.511061081355453,1.4992734310896492,1.522941408978107,0.0,0.4213912558439034,1.5240804671593373,1.5115878339890667,1.5366763466511366,0.0,0.31894585265255937,1.3756768336378282,1.3637466902122637,1.387711342722482,0.0,0.3211403742470299,1.3786991011590113,1.3650791195353236,1.3924549751985855,0.0,0.3849466101812942,1.4695358610934657,1.4557374742024296,1.4834650376936138,0.0,0.3663211350955573,1.4424183794499146,1.4304227263957616,1.4545146291245914,0.0
subject_race_asian/pacific islander,-0.09897427917359868,0.9057660047741104,0.8711580508601602,0.9417488073425929,6.377622507396285e-07,-0.14773099303087894,0.8626631461299558,0.8295947479248624,0.89704968064508,1.28435435677067e-13,-0.12569099472925685,0.8818873125123426,0.850334762755209,0.9146106522216013,1.3656625642147867e-11,-0.08471976600945408,0.918769718833535,0.889442752934321,0.9490636620070213,3.078910255408941e-07,-0.10163438257937836,0.9033597753683932,0.875210165980741,0.9324147678736986,3.124565521569288e-10,-0.018893226866934208,0.9812841314305798,0.9533091002160036,1.0100800950911792,0.20043830036021437,-0.019682555500476775,0.9805098813770682,0.9538703166418334,1.0078934323721764,0.16136005167139678,-0.014081472382266586,0.9860172078194287,0.9576665126783809,1.015207195035891,0.34414179807395007,-0.057993107839185175,0.9436564512464017,0.9143662667462918,0.9738848975123392,0.00031233113922002077,-0.007635552108581262,0.9923935246666106,0.956958718046559,1.0291404312722954,0.6806356968430134,-0.07670816365893543,0.9261601013457383,0.8914910826016058,0.962177356638882,8.123610463117432e-05,-0.11088170831168416,0.8950446190062327,0.8668545184273458,0.9241514613840659,1.1146003699882773e-11
county_type_Non core,-0.18545377883649514,0.8307272318727674,0.8233854156955661,0.8381345122466285,0.0,-0.2207468260293175,0.8019196797815161,0.7945291593713726,0.8093789450467583,0.0,-0.38971290066800807,0.6772512849807781,0.6711716985115499,0.6833859413698478,0.0,-0.2384532109262768,0.7878455499582915,0.7806186021909419,0.795139404629839,0.0,-0.16844656598355146,0.8449764126962067,0.8373111114565506,0.8527118871872275,2.180995611518677e-287,-0.17593688441464764,0.8386709148723642,0.8311221370621549,0.8462882554652102,0.0,-0.14927032947742053,0.8613362388484147,0.8535159426645161,0.8692281880962419,9.265976689502438e-226,-0.13622389574836627,0.8726472286101774,0.8643162994162346,0.8810584575523505,1.7138780673614304e-170,-0.21186968111606394,0.8090701278126572,0.800893977381861,0.8173297467645747,0.0,-0.23363509977580119,0.7916506366918085,0.7824295353651615,0.8009804106922657,0.0,-0.26338448595947495,0.7684463836592494,0.759979998152742,0.7770070870211204,0.0,-0.33482972995801547,0.7154598973686455,0.7084513258178575,0.72253780335836,0.0
county_type_Micropolitan,-0.19185953887122714,0.8254228001677711,0.8174116238563384,0.8335124913229128,0.0,-0.20848765534430955,0.811811056168662,0.8035890168531757,0.8201172204897016,0.0,-0.3829866114497324,0.6818220278333746,0.6750471229628653,0.6886649269733847,0.0,-0.2672330169313762,0.7654946774610426,0.7577236002495175,0.7733454534453229,0.0,-0.18946609184536886,0.827400772055125,0.8191208422426431,0.8357643979893071,2.04069556093801e-298,-0.27221865923894956,0.7616876928284254,0.7541584989824852,0.769292054904978,0.0,-0.22363250208836707,0.7996089349942339,0.7918498532120172,0.8074440455208634,0.0,-0.26533472577283734,0.766949189345922,0.7590579084413377,0.774922509201188,0.0,-0.4562618070265779,0.6336479219022841,0.6268647437247618,0.6405044994959463,0.0,-0.4875929784608473,0.6141027752383543,0.6067726850081567,0.6215214162950977,0.0,-0.42095192126610315,0.6564216605728456,0.6489796520974709,0.6639490083804607,0.0,-0.473670042408885,0.6227126874517315,0.6164328255599718,0.6290565249524211,0.0
subject_sex_female,-0.08747768854756256,0.9162393140527038,0.9089409140966044,0.9235963169840825,5.866799969113095e-102,-0.08711582082504286,0.9165709314837666,0.9089471957096975,0.9242586108482082,7.026605860067312e-93,-0.06445011166500778,0.9375828875444963,0.9298096109972714,0.9454211492538069,5.340021193637761e-52,-0.09082361893164106,0.9131787641414988,0.9056409879234611,0.9207792783220081,2.5898265956452547e-102,-0.10651512015714606,0.8989614556199937,0.8917248759701055,0.9062567619987649,4.153837022426446e-147,-0.12399304904819917,0.8833859812347873,0.8764691301717139,0.8903574181662979,7.306618811799523e-210,-0.17129020217574234,0.8425770203038829,0.8360454593949164,0.8491596086868081,0.0,-0.16834425052668237,0.845062871266864,0.8382035684604177,0.851978306064107,0.0,-0.1301122753713507,0.8779968479642959,0.8703834969259912,0.8856767939164946,1.7829156005591395e-188,-0.0963730159127768,0.9081252077289069,0.8991526852207107,0.9171872658204178,1.0988135660815171e-80,-0.08063209167655616,0.9225330365996438,0.9138622007599252,0.9312861423856373,7.275013698231645e-63,-0.11915817254759116,0.8876673850455807,0.880436516694651,0.8949576392308292,2.553544589113842e-179
const,0.31728426144118715,1.3733929190930037,1.3647870138926186,1.382053090346307,0.0,0.3607504534257315,1.434405465242158,1.4247243121375335,1.4441524028109325,0.0,0.2772688852669314,1.3195211231284298,1.3107488893347286,1.328352065410353,0.0,0.15804872974769865,1.1712232667313922,1.1628332012827083,1.1796738681177803,0.0,0.07838319397527041,1.081537017744294,1.0738471759866668,1.0892819266172238,8.131848745601395e-103,0.05879564110397126,1.0605584840318618,1.0532588936925928,1.0679086640404327,1.680444016472004e-62,-0.12748873176153303,0.8803033352462387,0.8744737625834323,0.8861717700440628,1.62594483460234e-309,-0.034861142411080355,0.9657395072070732,0.9587851842881241,0.9727442716723183,3.253884041121807e-21,0.10858332214859243,1.114697783683377,1.1058890171561162,1.123576714907572,1.6738339052055624e-158,0.03212382521287227,1.032645364920966,1.0232223290018225,1.0421551792492747,6.499043957465314e-12,0.13322292399916932,1.1425046616528018,1.132510183356281,1.1525873418903627,4.506567897861224e-194,0.08834152423754865,1.0923611261303305,1.0837770824257094,1.1010131596527082,9.249578742019841e-107
male_asian/pacific islander,-0.008636462342777892,0.9914007247660958,0.9912656141047871,0.9915358538431454,0.0,-0.005944902191116211,0.9940727337745777,0.9939280216750582,0.9942174669436227,0.0,-0.020343771114540075,0.9798617672289688,0.9796651234393589,0.9800584504900053,0.0,0.005042969674227825,1.0050557068478545,1.0049126864583953,1.0051987475921487,0.0,-0.00010297097068261159,0.9998970343306458,0.999795729806865,0.99999834911913,0.046382128669217426,0.006007975214570825,1.006026059295758,1.005936643254123,1.0061154832854367,0.0,-0.0006050982580054135,0.9993950847770255,0.9993295884086394,0.9994605854380639,3.4340342277420904e-73,0.002091899062643645,1.0020940886099923,1.0020091836375096,1.0021790007768743,0.0,-0.005974964746721304,0.9940428498569388,0.9939356408685884,0.994150070409184,0.0,-0.029001856871282834,0.971414660672943,0.9711647843112594,0.9716646013266985,0.0,-0.02968562045392104,0.9707506697366145,0.9704950207489605,0.971006386067638,0.0,-0.02010763256340488,0.980093177688385,0.9799302892495646,0.9802560932032575,0.0
male_black,-0.0009748450264254297,0.999025629980622,0.9990028882531501,0.9990483722257965,0.0,-0.000622231124785141,0.9993779624208557,0.9993514162157986,0.9994045093310712,0.0,-9.687020738831393e-05,0.9999031344843787,0.9998744270417724,0.9999318427512058,3.7672520059913834e-11,-0.0008992043357788379,0.9991011998272891,0.9990709941130723,0.9991314064547395,0.0,-0.0004912743343822505,0.9995088463210945,0.9994754393492852,0.9995422544095152,1.6986945350293557e-182,-0.0007349777622528045,0.9992652922677433,0.9992378811413958,0.9992927041460338,0.0,-0.0015193330213563085,0.9984818205807494,0.9984526072803506,0.9985110347358878,0.0,-0.0033509268459109066,0.9966546812436043,0.9966218837237253,0.9966874798428068,0.0,-0.0038388057778723926,0.9961685530176873,0.9961234382066008,0.9962136698720407,0.0,-0.0029268386802346934,0.9970774403364135,0.9970184560429701,0.9971364281194082,0.0,-0.0015521254782886404,0.9984490784455007,0.9983948403771948,0.9985033194603042,0.0,0.0008610721067155698,1.0008614429357312,1.0008237677385974,1.0008991195511174,0.0
male_hispanic,-0.0005270502432891999,0.9994730886232926,0.9994639819725736,0.9994821953569873,0.0,-0.0010690421315416394,0.9989315290904263,0.9989203385874054,0.9989427197188099,0.0,-0.0009738640289290185,0.9990266100227446,0.9990138158060285,0.9990394044033143,0.0,-0.0005890982093257077,0.9994110752749563,0.9994030060473529,0.9994191445677111,0.0,-0.00041818527533348524,0.9995819021519414,0.9995741925679978,0.999589611795348,0.0,-0.0004167632257762911,0.9995833236079534,0.9995751191938513,0.9995915280893966,0.0,-9.646434005938885e-05,0.9999035403124754,0.9998939066244683,0.9999131740933005,9.724933054895803e-86,1.87225737010968e-05,1.0000187227489696,1.0000055234722447,1.0000319221999145,0.0054333213659905205,0.0007537647219356869,1.000754048873954,1.0007396848673227,1.0007684130867571,0.0,0.00174404442646326,1.0017455661564703,1.0017303113855736,1.0017608211596734,0.0,0.0022411953862623325,1.0022437087419316,1.002226075535155,1.0022613422589475,0.0,0.0013877199457804977,1.0013886832746632,1.0013775879970828,1.0013997786751794,0.0
